pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
Kepler-953 c,Kepler-953,c,1,2,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.190,0.110,-0.090,0,1.81000,,,0,5.900000,,,0,873,,,0,85.020,,,0,,5416.00,40.78,-45.57,0,0.99,0.09,-0.07,0,0.95,0.03,-0.03,0,-0.119,,,0,14.64718,75.92390,258.8930000,,
Kepler-954 b,Kepler-954,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.320,0.050,-0.110,0,5.99000,,,0,2.640000,,,0,545,,,0,89.070,,,0,,4990.00,61.28,-69.80,0,0.76,0.02,-0.02,0,0.82,0.02,-0.03,0,-0.572,0.015,-0.017,0,11.79563,81.10942,215.8140000,1.1480000,-1.1350000
Kepler-955 b,Kepler-955,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,3.130,0.270,-0.170,0,9.96000,,,0,1.780000,,,0,664,,,0,90.000,,,0,,5350.00,73.41,-89.94,0,0.84,0.07,-0.04,0,0.89,0.04,-0.04,0,-0.409,,,0,13.19907,71.67536,550.3830000,6.7950000,-6.6350000
Kepler-956 b,Kepler-956,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,3.000,0.780,-0.380,0,9.27000,,,0,1.890000,,,0,1056,,,0,86.000,,,0,,6040.00,114.09,-113.17,0,1.15,0.30,-0.14,0,1.10,0.09,-0.07,0,0.052,0.015,-0.014,0,14.26979,81.13457,544.9390000,4.2920000,-4.2260000
Kepler-957 b,Kepler-957,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,5.500,0.290,-0.320,0,25.90000,,,0,0.855000,,,0,769,,,0,89.780,,,0,,4963.00,47.52,-58.85,0,0.75,0.03,-0.04,0,0.81,0.03,-0.04,0,-0.468,,,0,15.59047,80.24006,824.6880000,20.2220000,-20.2220000
Kepler-958 b,Kepler-958,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.060,0.100,-0.080,0,4.90000,,,0,3.080000,,,0,749,,,0,86.730,,,0,,5421.00,57.75,-54.04,0,0.86,0.04,-0.03,0,0.91,0.03,-0.03,0,-0.282,,,0,16.32186,76.80898,449.7730000,2.8855000,-2.8855000
Kepler-959 b,Kepler-959,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,4.380,1.210,-0.870,0,17.60000,,,0,1.150000,,,0,1912,,,0,88.880,,,0,,7005.00,193.26,-159.47,0,2.01,0.55,-0.40,0,1.60,0.19,-0.17,0,0.738,0.020,-0.035,0,10.89592,73.41447,807.7290000,14.0990000,-13.6310000
Kepler-96 b,Kepler-96,b,1,1,Transit,2014,2014-02,Kepler,0.95 m Kepler Telescope,2.670,0.220,-0.220,0,8.46000,3.40000,-3.40000,0,2.260000,1.110000,-1.110000,0,711,,,0,87.940,,,0,,5690.00,73.00,-73.00,0,1.02,0.09,-0.09,0,1.00,0.06,-0.06,0,-0.052,0.016,-0.013,0,7.48242,74.92809,122.8810000,0.4040000,-0.4010000
Kepler-960 b,Kepler-960,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.290,0.070,-0.250,0,5.86000,,,0,2.680000,,,0,1391,,,0,87.930,,,0,,4755.00,41.26,-40.53,0,0.72,0.02,-0.03,0,0.77,0.03,-0.04,0,-0.629,,,0,20.30579,76.01081,284.9160000,1.6000000,-1.6000000
Kepler-961 b,Kepler-961,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.550,0.110,-0.080,0,7.04000,,,0,2.330000,,,0,642,,,0,89.020,,,0,,5582.00,53.72,-55.83,0,0.90,0.03,-0.03,0,0.96,0.03,-0.03,0,-0.194,,,0,18.89889,73.02863,574.3140000,5.8160000,-5.7020000
